12,14,14,17,17,12,12,3,0,0,0,0,0,3,0,0,0,0,0,0
14,10,15,13,17,11,17,2,1,1,1,1,1,2,1,1,1,1,0,0
14,15,10,17,13,15,11,3,0,0,0,0,0,3,0,0,0,0,0,0
17,13,17,17,20,16,20,3,1,1,1,1,1,3,1,1,1,1,0,0
17,17,13,20,17,18,18,4,1,1,1,1,1,4,1,1,1,1,0,0
12,11,15,16,18,12,17,3,1,1,1,1,1,3,1,1,1,1,0,0
12,17,11,20,18,17,14,11,4,5,4,5,5,12,3,4,4,3,3,2
3,2,3,3,4,3,11,15,18,20,18,20,15,5,1,1,1,1,0,0
0,1,0,1,1,1,4,18,14,19,14,19,18,4,1,1,1,1,0,0
0,1,0,1,1,1,5,20,19,21,19,22,20,5,1,1,1,1,0,0
0,1,0,1,1,1,4,18,14,19,14,19,18,4,1,1,1,1,0,0
0,1,0,1,1,1,5,20,19,22,19,21,20,5,1,1,1,1,0,0
0,1,0,1,1,1,5,15,18,20,18,20,15,11,3,4,4,3,3,2
3,2,3,3,4,3,12,5,4,5,4,5,11,16,18,19,20,20,12,10
0,1,0,1,1,1,3,1,1,1,1,1,3,18,12,18,17,14,15,9
0,1,0,1,1,1,4,1,1,1,1,1,4,19,18,17,21,20,13,14
0,1,0,1,1,1,4,1,1,1,1,1,4,20,17,21,19,20,17,11
0,1,0,1,1,1,3,1,1,1,1,1,3,20,14,20,20,17,17,13
0,0,0,0,0,0,3,0,0,0,0,0,3,12,15,13,17,17,10,12
0,0,0,0,0,0,2,0,0,0,0,0,2,10,9,14,11,13,12,7
